titles,descriptions,genres,links
Citadel for All: The Only Unit Angel at the Start of the Game,"Billions of humans have descended on the Boundless Continent to become the Lord of the Citadel and participate in a fair and equitable race for supremacy.At the beginning of the landing, each Citadel Lord would randomly receive an Initial Barrack.
The first thing to do was to recruit soldiers, plunder resources, build a dynasty and compete for supremacy over all races!
Lin Yi was surprised to find out.
The one he received at random was the unique Military Barrack - the [Angel Reincarnation Pool]!
Angels could be bred!
""Haha, mine is an Advanced Troop Type building that can summon Forest Elves!""
""Mine is a Top Tier Troop Building, capable of summoning Dark Dragons with ultimate potential to reach the Holy Rank!!!""
""I can summon Golden Behemoths ......""
Looking at these self-bragging messages, Lin Yi couldn't help but fall into contemplation.
His angels, holy beings, unique soldiers!
The weakest of the twin-winged Angel, in its full form, was also of demigod level.
The most powerful of all, the eighteen-winged Archangel, was even a terrifying existence of the Lord God level!
As soon as the Angel Legion comes out, who can compete with them?
Believe in the Lord, and you shall have eternal life!","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/citadel-for-all-the-only-unit-angel-at-the-start-of-the-game/
I Become a Cat in Another World,"When I died of pancreatic cancer and moved to another world, due to the mistake of a goddess I was transmigrated as a fat cat. />
I stay in the surrounding forest, sometimes I visit the inns in the town and lived a comfortable life. ","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/i-become-a-cat-in-another-world/
Extreme Flame Wizard,"“From today onwards you are no longer my son. Get out” Being born into a noble family that is aiming to become the ‘strongest’, at his aptitude ceremony held on his 12th birthday it was discovered that Igni could only use fireballs. Igni who can only use beginner level magic was kicked out of his house.With no where to go and without much magical ability, Igni is scraping by through life. However, one day he has miraculous reunion. “What? Is that Igni there?” “Gr-grandpa!?” It was a reunion with his grandfather, the man who was once called the strongest [Kyokuten] but was banished from his noble family because of his excessive womanizing…! “Grandpa! You said strong men are popular, but I can’t be strong!!” “Igni, listen carefully. Strong men are popular but, hard-working men are even more popular!!” “Grandpa! I’ll try my best!!!” Igni whose parents who banished Igni from the house, didn’t yet know of his obsession with being popular under the guidance of the strongest [Kyokuten] magician…!
“Igni that magic!” “This? It’s a fireball” “With this you can aim for [Kyokuten]! Come back here!!” “Nobility isn’t popular” “What are you saying?” This is a story where a young magician becomes the strongest by honing his skills all in order to become popular.","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/extreme-flame-wizard/
Sugar Sweet,"“Please deliver this pendant to my friend.”Following a map to a town called Akebi that his dead grandmother left together with her will, Sui goes into the forest in search of his grandmother’s friend and inevitably gets lost. In the forest he meets a mysterious and beautiful young man named Red whose eyes are covered with a piece of cloth.
This is a boy-meets-boy fantasy where secrets, memories and delicious sweets are woven together. ","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/sugar-sweet/
Don’t Pick Up Boyfriends From the Trash Bin,"Chi Xiaochi: fourth-rate citizen at birth, three-time award-winning film emperor, second-rate temper, first-class looks.He crawled his way out of hell on hard mode to become a winner at life.
Then, he was smashed into a vegetative state by a chandelier.
061: Hello, here’s a brief rundown on the scum gong reconditioning system. This system measures the regret level of the scum gong. Every time their regret level reaches one hundred points, you will be able to leave the current world. A friendly tip, usually, through dedication and self-sacrifice, our employees slowly foster a sense of dependency in the scum gongs, gradually making it so the scum gongs can’t live without them.
Chi Xiaochi: How many regret points is a complete loss of reputation and standing worth? How about a fall from grace? Or wanting something but never being able to obtain it?
061: ……","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/dont-pick-up-boyfriends-from-the-trash-bin/
Bloody Moon,"For seven years the Ibeden Empire has been at war with five nations. One of the most troublesome, is a small kingdom of Kemened. This small nation should have been easily defeated but it is still holding out after seven long, arduous years. The reason comes down to one person, the unknown assassin. As the name suggests, nothing is known about this person who strikes without detection leaving behind nothing but a corpse with burned out eyes.As the First Prince of Yveden closes in on the Kemened Kingdom, his subordinate Count Custer is killed in a brothel. His burned out eyes, like bloody moons, leave no doubt as to identity of person who killed him. Yet again it was the unknown assassin.
There is a secret beneath the maze of the Kemened Kingdom, as The First Prince will soon discover it goes much deeper than assassin’s or Kingdoms, it’s a matter of fate, and it will change everything","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/bloody-moon/
Kojiin Tamer,"Shu, who died of old age, reincarnated as a baby in a different world where he was picked up by a poor orphanage. He quickly grows up under the watchful eye of the gentle director and staff. With skills received from God, he starts to exert talent…
He now lives at his own pace, adventuring with cute monsters and good friends ♪","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/kojiin-tamer/
What Happens When the Second Male Lead Powers Up,"Fantasy World I was transported into the romantic fantasy novel my younger sister was reading, not as the male lead but as the second male lead. If I remember correctly, this punk is fated to go into war in the future and die in the male lead’s place.Okay, I’ve made up my mind. Let’s not go anywhere near the main characters and stay healthy until I can go home.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/what-happens-when-the-second-male-lead-powers-up/
The Divine Hunter,"Luo Yi, a high school dropout in his original world, was isekai’d into the world of the Witcher 3. Starting out as a weak boy named Roy in the village of Kaer, Lower Posada, he was determined to grow stronger, no matter what it took. The first step toward becoming a legend was to kill. And his first kill was… a rooster. ‘You gain 1 EXP.’ Of course, Roy had his own cheat system like all the other isekai protagonists. His first step to becoming a legend started now…","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/the-divine-hunter/
Beauty of Thebes,"Eutostea, Thebe’s third princess.At night, a man appeared through her window and whispered in a honeyed voice, “I came to be your one-night lover. After tonight, you will not remember me, nor will we meet again.”
Who was he? Apollo, the god of prophecy. As a human being, who could resist a god?
“Princess of Thebes…” The man leaned against the window frame in pitch-black darkness with only the moonlight framing his stature.
And despite what he said, Apollo came to visit her again.
“Tomorrow, everyone throughout Greece will know that you are my woman.”
How long will their secret meeting last?
Aphelius, King of Thebes, blazing with shame flew to the Temple of Greece to confirm the identity of the suspicious man who went in and out of the third princess’ room. The three princesses were united as one to confirm the appearance of the man claiming to be the self-proclaimed god, Apollo.
While Eutostea hesitated for a moment, the hot candle melted and dripped on the shoulder of a god.
“You really don’t recognize me?”
“How do I know its you?”
Apollo grabbed her chin and brought his lips close to hers.
“Behold and open your heart, Princess of Thebes. Here lies the face you longed to see.”
He growled.","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/beauty-of-thebes/
