,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
888,889,Dr. Muhammad Murtaza Yousaf,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Innsbruck,Austria,2008.0,"Structures, Automata Theory",
889,890,Dr. Shahzad Sarwar,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Vienna University of Technology,Austria,2008.0,"Computer Networks, Topics in Internet Research, Optical Communications, Performance Modeling",
890,891,Dr. Waqar ul Qounain,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,"Vrije University, Amsterdam",Netherland,,"Computational Modelling, Artificial Intelligence, Data Mining and Machine Learning, Multi-Agent Systems",
891,892,Dr. Imran Farid Khan,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Columbia University,USA,2012.0,Graph Theory (especially Topological Graph Theory),
892,893,Dr. Mehvish Irfan Poshni,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Columbia University,USA,2012.0,Topological graph theory,
893,894,Dr. Faisal Aslam,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of Freiburg, Germany,,"Programming Languages and Compilers, Protocols and Algorithms for Wireless and Wired Networks",
894,895,Dr. Zubair Nawaz,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, Delft University of Technology,Netherland,2011.0,"Analysis of Algorithms, Advanced Algorithms, High Performance Computing",
895,896,Dr. Fawaz Bokhari,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Texas at Arlington (UTA),USA,2012.0,"Computer networks, broadband wireless networking, wireless multimedia communication, network deployment and monitoring.",
896,897,Dr. Faisal Bukhari,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Computer Vision, Image Processing, Machine Learning, and Statistics",
897,898,Dr Khurram Shahzad,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology, Sweden,,"Data Warehousing, Business Process Management and Academic Social Network",
898,899,Dr. Muhammad Shahid Farid,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Turin,Italy,2015.0,"Image Processing, Computer Vision, Analysis of Algorithms",
899,900,Dr. Nazar Khan,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD, University of Central Florida, USA,2013.0,"Computer Vision, Image Analysis, Machine Learning",
900,901,Dr. Waheed Iqbal,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,"Cloud Computing, Distributed Systems, Machine Learning, Data Mining, Mobile and Web Computing, Scalable Applications and Architectures, Algorithms Analysis, Data Structures, Operating Systems",
901,902,Dr. Farsia Hussain,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,2015.0,"Computational Mathematics, Linear Algebra, Calculus, Probability and Statistics",
902,903,Aasim Ali,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2008.0,"Natural Language Processing, Computational Linguistics, Machine Learning, Linguistics",
903,904,Muhammad Arif Butt,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,,"Operating Systems and Systems Programming, Embedded and Real Time Operating Systems",
904,905,Abdul Khaliq,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,Mphil,University of the Punjab,Pakistan,,"Digital Logic and Design, Computer, Operating System, Architecture, Computer Networks",
905,906,Asif Sohail,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,Mphil,University of the Punjab,Pakistan,,"Databases, Data Structures, Digital Logic & Design",
906,907,Asim Rasul,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,MS,University of the Punjab,Pakistan,,"Databases, Information Systems",
907,908,Ch Ejaz Ashraf,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,MS,University of the Punjab,Pakistan,,"Software Engineering, Software Quality Assurance, Software Project Management",
908,909,Fareed ul Hassan Baig,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,Mphil,University of the Punjab,Pakistan,2008.0,"Object Oriented Design and Programming, Data Structures, Analysis and Design of Algorithms",
909,910,Farhan Ahmad Ch,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,MS,Government College University,Pakistan,,Databases,
910,911,Imran Javed,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,Mphil,University of the Punjab,Pakistan,,"Theory of Formal Languages and Automata, Design and Implementation of Compilers, Programming Languages",
911,912,Javeria Iqbal,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,Saarland University, Germany,,"Online Algorithms, Robotics and Probabilistic Graphical Models, Enterprise Software Development, Software Engineering",
912,913,Muhammad Idrees,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,,"Programming (C++/JAVA/.NET), Database Design and Administration, Data Structures, Design and Analysis of Algorithms, Theory of Automata.",
913,914,Muhammad Adeel Nisar,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,Mphil,University of the Punjab,Pakistan,,"Operating Systems, Computer Architecture, System Programming",
914,915,Muhammad Ahmad Ghazali,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,,"Programming Fundamentals, Object-Oriented Programming, Data Structures & Algorithms, Theory of Automata, Discrete Mathematics",
915,916,Muhammad Kamran,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,,,
916,917,Laeeq Aslam,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of the Punjab,Pakistan,,"Graph Theory, Combinatorics, Image and Video Processing, Discrete Mathematics, Theory of Automata and Formal Languages, Multimedia System Design",
917,918,Dr.Syed Muhammad Ali,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,PhD,University of Central Florida, USA,,"Machine Learning, Image Processing, Computer Vision",
919,920,Tayyaba Tariq,Punjab University College of Information and Technology,Information Technology,Punjab,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,2007.0,"Computer Programming, Software Engineering, Software Quality Assurance",
920,921,Abdul Mateen,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Programming, Data Structures",
922,923,Amina Mustansir,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Software Engineering, Enterprise Modeling, Object Oriented Analysis and Design",
923,924,Anzar Ahmad,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Oxford Brookes University,UK,,"Agent Modeling, Intelligent Systems, AI, OOP, OOAD, Software Engineering, SW Architecture Pattern, Fundamentals of Programming Languages",
924,925,Arifa Mirza,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Theoretical Physics, Mathematical Physics, Particle Physics, Astronomy, Electronics, Electrodynamics, Magnetism",
925,926,Esha Aftab,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MS,Lahore University of Management Sciences,Pakistan,,"Data Structures and Algorithms, Discrete Mathematics, Object-Oriented Programming",
927,928,Fakhra Jabeen,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MSc,"International Islamic University,Islamabad",Pakistan,2004.0,"Programming in C/C++/VC++, Computer Organization",
928,929,Madiha Khalid,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Parallel and Distributed Computing, Computer Vision, Database Systems, Computer Organization and Assembly Language, Business Process Management and academic social networks, Programming (OOP and DSA)",
929,930,Muhammad Farooq,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,Mphil,University of the Punjab,Pakistan,2009.0,Network Programming,
930,931,Mian Muhammad Mubasher,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Ambient Intelligence, Computational Modeling, Data and Text Mining, Information Retrieval, Social Simulation, Enterprise Application Development, Mobile Computing, Computational Modeling, Artificial Intelligence",
931,932,Muddassira Arshad,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of the Punjab,Pakistan,,"Human Computer Interaction, Software Engineering",
932,933,Mehwish Kayani,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MS,Information Technology University (ITU),Pakistan,2014.0,"Software Engineering, Object Oriented Analysis and Design,Software Design and Architecture.",
933,934,Nastaeen Fatima,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MS,University of the Punjab,Pakistan,,"Database systems, Project Management, Computer Networks, Software Quality Assurance, Total Quality Management",
934,935,Shuja-ur-Rehman Baig,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MS,Lahore University of Management Sciences,Pakistan,2010.0,,
935,936,Saima Ali,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,University of Canterbury, New Zealand,,"Computer Networks, Wireless Sensor Networks, Opportunistic Networks, Internet Architecture and Protocols",
937,938,Sanam Ahmed,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,Mphil,University of the Punjab,Pakistan,,"Big Data Analytics, Distributed Computing, Data Mining, Web Engineering, Object Oriented Programming, Software Engineering, Database Management Systems",
938,939,Kashif Murtaza,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Lahore University of Management Sciences,Pakistan,,"Computer Vision, Pattern Recognition and Machine Learning, Multiple View Geometry, Convex Optimization",
939,940,Saadia Shahzad,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Punjab University College of Information Technology,Pakistan,,"Data Structures and Algorithms, Computer Vision, High Performance Computing",
940,941,Sadeeqa Khan,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,MS,University of the Punjab,Pakistan,2010.0,"Management Information Systems, Human Resource Management, Total Quality Management, Organizational Behavior, Software Project Management",
942,943,Umair Babar,Punjab University College of Information and Technology,Information Technology,Punjab,Lecturer,PhD,Punjab University College of Information Technology,Pakistan,,"Object Oriented System Design and Implementation, Data Structures and Algorithms, Theory of Automata",
945,946,Kashif Zahoor,FAST(Lahore),Computer Science,Punjab,Professor,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,2010.0,Artificial Intelligence,
946,947,Asif Mahmood Gilani,FAST(Lahore),Computer Science,Punjab,Professor,PhD,University of Patras,Greece,2002.0, Imaging especially in the Data Security Issues,
947,948,Ghalib Asadullah Shah,FAST(Lahore),Computer Science,Punjab,Adjunct Professor,PhD,Middle East Technical University,Turkey,2007.0,,
948,949,Mehreen Saeed,FAST(Lahore),Computer Science,Punjab,Associate Professor,PhD,University of Bristol,UK,1999.0,"AI, Computer Vision and Machine Learning.",
949,950,Ali Afzal Malik,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,University of Southern California,USA,2010.0,empirical software engineering and software cost estimation.,
950,951,Haroon Mahmood,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,Politecnico di Torino,Italy,2014.0,embedded system design with particular emphasis on the design and modeling of reliable and power-efficient solutions.,
951,952,Irfan Younus,FAST(Lahore),Computer Science,Punjab,Assistant Professor,PhD,KTH Royal Institute of Technology,Sweden,2014.0,"Evolutionary Algorithms, Bioinformatics, Combinatorial Optimization, Search Heuristics, Multi-objective Optimization, Many-Objective Algorithms, and Machine Learning. ",
